supplier,facility,city,mill_type,capacity_000_bdu,latitude,longitude,district,district_code,region,how_established,confirmed_by_harmac
Coast Mountain Cedar,Copper Mountain Cedar Products,,,,54.460207,-128.477964,Coast Mountains Natural Resource District,DKM,Skeena Natural Resource Region,"mill point, matched on one distinctive word: MOUNTAIN",
Riverside Shingle Products,Riverside Shingle Products Ltd.,,,,49.285247,-124.360255,South Island Natural Resource District,DSI,West Coast Natural Resource Region,"mill point, matched on all distinctive words (2 candidates)",
Coleman Road Shingle,Coleman Road Shingle Ltd (Pacific Cedar),,,,49.310905,-124.899599,South Island Natural Resource District,DSI,West Coast Natural Resource Region,"mill point, matched on all distinctive words",
Comox Valley Shakes LLP,Comox Valley Shakes Ltd.,,,,50.014892,-125.278431,Campbell River Natural Resource District,DCR,West Coast Natural Resource Region,"mill point, matched on all distinctive words",
Gold River Shingle Mill,,,,,,,,,,ambiguous on 'RIVER' — 6 facilities,
Chemainus Forest Products,,,,,,,,,,"no facility, no place name — look up by hand",
C&C Lath Mill Ltd,,,,,,,,,,"no facility, no place name — look up by hand",
WFP Value Added,,,,,,,,,,"no facility, no place name — look up by hand",
Campbell River Shake,Campbell River Shake and Shingle Co. Ltd.,,,,50.155862,-125.435654,Campbell River Natural Resource District,DCR,West Coast Natural Resource Region,"mill point, matched on all distinctive words",
Nicola Post and Rail,Nicola Post and Rail Ltd.,,,,50.174187,-120.666834,Cascades Natural Resource District,DCS,Thompson-Okanagan Natural Resource Region,"mill point, matched on all distinctive words (2 candidates)",
Ludwig Lumber Ltd,Ludwig Lumber Ltd.,,,,49.818001,-125.140018,Campbell River Natural Resource District,DCR,West Coast Natural Resource Region,"mill point, matched on exact name",
Paulcan,,,,,,,,,,"no facility, no place name — look up by hand",
Aquila Cedar,,,,,,,,,,"no facility, no place name — look up by hand",
(BLANK),,,,,,,,,,"no facility, no place name — look up by hand",
Nanaimo Forest Products (own tenure),,,,,,,,,,"no facility, no place name — look up by hand",
S&R Sawmills Ltd,,,,,,,,,,"no facility, no place name — look up by hand",
Chips Ahoy Fibre Supplier Ltd,Chips Ahoy Fibre Supply Ltd.,,,144.0,49.136681,-122.368498,Chilliwack Natural Resource District,DCK,South Coast Natural Resource Region,"mill point, matched on one distinctive word: CHIPS",
Booming grounds / water delivery,,,,,,,,,,"no facility, no place name — look up by hand",
Mosaic Forest Management,,,,,,,,,,"no facility, no place name — look up by hand",
Long Hoh Enterprises,Long Hoh Enterprises Canada Ltd.,,,,49.294141,-124.504568,South Island Natural Resource District,DSI,West Coast Natural Resource Region,"mill point, matched on all distinctive words",
COS (log purchase - full name unknown),,,,,,,,,,"no facility, no place name — look up by hand",
Otter Point Timber,Otter Point Timber Ltd.,,,,48.953198,-123.784493,South Island Natural Resource District,DSI,West Coast Natural Resource Region,"mill point, matched on all distinctive words",
Triple Five Quality,Best Quality Cedar Products Ltd.,,,,49.175865,-122.424924,Chilliwack Natural Resource District,DCK,South Coast Natural Resource Region,"mill point, matched on one distinctive word: QUALITY",
Waldun Forest Products,Waldun Forest Products Ltd.,,,,49.172838,-122.429283,Chilliwack Natural Resource District,DCK,South Coast Natural Resource Region,"mill point, matched on all distinctive words",
Alta Forest Products (Morton),,,,,,,,,,"no facility, no place name — look up by hand",
Alta Forest Products (Shelton),,,,,,,,,,"no facility, no place name — look up by hand",
Cinnabar Valley,,,,,,,,,,ambiguous on 'VALLEY' — 3 facilities,
Cipa Lumber,CIPA Lumber Co. Ltd.,,,,49.176183,-122.944235,Chilliwack Natural Resource District,DCK,South Coast Natural Resource Region,"mill point, matched on all distinctive words",
Coulson Group,Coulson Manufacturing Ltd.,,,,49.206454,-124.810124,South Island Natural Resource District,DSI,West Coast Natural Resource Region,"mill point, matched on all distinctive words",
Coastland Custom Chipping,Coastland Wood Industries Ltd.,,,,49.143963,-123.927071,South Island Natural Resource District,DSI,West Coast Natural Resource Region,"mill point, matched on all distinctive words (2 candidates)",
Delta Cedar,Delta Cedar Sawmill LP,,,,49.154774,-122.942192,Chilliwack Natural Resource District,DCK,South Coast Natural Resource Region,"mill point, matched on all distinctive words",
Delta Cedar Split Barge,Delta Cedar Sawmill LP,,,,49.154774,-122.942192,Chilliwack Natural Resource District,DCK,South Coast Natural Resource Region,"mill point, matched on all distinctive words",
Franklin Custom Chipping,Franklin Forest Products Ltd.,,,,49.25693,-124.801932,South Island Natural Resource District,DSI,West Coast Natural Resource Region,"mill point, matched on all distinctive words",
G&R Cedar,,,,,,,,,,"no facility, no place name — look up by hand",
Halo Sawmill,Halo Sawmill Manufacturing LP,,,,49.214141,-122.729599,Chilliwack Natural Resource District,DCK,South Coast Natural Resource Region,"mill point, matched on all distinctive words",
Halo Sawmill (split barge),Halo Sawmill Manufacturing LP,,,,49.214141,-122.729599,Chilliwack Natural Resource District,DCK,South Coast Natural Resource Region,"mill point, matched on all distinctive words",
High Line Environmental,,,,,,,,,,"no facility, no place name — look up by hand",
Ledcor Silverdale Reload,,,,,,,,,,ambiguous on 'LEDCOR' — 2 facilities,
Mercer Celgar Ltd,,,,,,,,,,ambiguous on 'MERCER' — 2 facilities,
Unassigned / other,,,,,,,,,,ambiguous on 'OTHER' — 5 facilities,
Paulcan Custom Chipping,,,,,,,,,,"no facility, no place name — look up by hand",
Richmond Plywood (hog fuel),Richmond Plywood Corporation,,,,49.198308,-123.072956,Chilliwack Natural Resource District,DCK,South Coast Natural Resource Region,"mill point, matched on all distinctive words (2 candidates)",
Kruger River City,,,,,,,,,,ambiguous on 'KRUGER' — 2 facilities,
Roseburg Forest Products,,,,,,,,,,"no facility, no place name — look up by hand",
Sigurdson Forest Products,Sigurdson Forest Products Ltd.,,,,52.158533,-122.190587,Cariboo-Chilcotin Natural Resource District,DCC,Cariboo Natural Resource Region,"mill point, matched on all distinctive words",
Teal Jones,Teal-Jones Group (J.S. Jones),,,,49.187297,-122.724543,Chilliwack Natural Resource District,DCK,South Coast Natural Resource Region,"mill point, matched on all distinctive words (2 candidates)",
Titan Ridge,Titan Ridge Forest Products,,,,50.563448,-127.030565,North Island - Central Coast Natural Resource District,DNI,West Coast Natural Resource Region,"mill point, matched on all distinctive words",
Valley Cedar 2 Inc,Comox Valley Shakes Ltd.,,,,50.014892,-125.278431,Campbell River Natural Resource District,DCR,West Coast Natural Resource Region,"mill point, matched on all distinctive words (3 candidates)",
Viking Lumber,,,,,,,,,,"no facility, no place name — look up by hand",
WEW (log purchase - full name unknown),,,,,,,,,,"no facility, no place name — look up by hand",
Franklin Forest Products Ltd,Franklin Forest Products Ltd.,,,,49.25693,-124.801932,South Island Natural Resource District,DSI,West Coast Natural Resource Region,"mill point, matched on exact name",
Domtar,,,,,,,,,,"no facility, no place name — look up by hand",
Suncoast Industries,Suncoast Industries Inc.,,,,49.451646,-123.711443,Sunshine Coast Natural Resource District,DSC,South Coast Natural Resource Region,"mill point, matched on all distinctive words",
Harmac Pacific (internal),Harmac Pacific (Nanaimo Forest Products),,,,49.13718,-123.860051,South Island Natural Resource District,DSI,West Coast Natural Resource Region,"mill point, matched on exact name",
Harmac Pacific (mill yard),Harmac Pacific (Nanaimo Forest Products),,,,49.13718,-123.860051,South Island Natural Resource District,DSI,West Coast Natural Resource Region,"mill point, matched on exact name",
