supplier,client_number,client_name,state,decided_by,decided_on,reason,jurisdiction,match_basis
Gold River Shingle Mill,00143679,GOLDEN NORDIC SKI CLUB SOCIETY,proposed,,,,BC,possible - shares the name but carries a word of its own
Gold River Shingle Mill,00167749,HENNING GOLD MINES INC.,proposed,,,,BC,possible - shares the name but carries a word of its own
Gold River Shingle Mill,00166083,MARY CREEK GOLD MINES INC,proposed,,,,BC,possible - shares the name but carries a word of its own
Gold River Shingle Mill,00164664,NEW GOLD INC.,proposed,,,,BC,possible - shares the name but carries a word of its own
Gold River Shingle Mill,00158916,SEABRIDGE GOLD INC,proposed,,,,BC,possible - shares the name but carries a word of its own
Gold River Shingle Mill,00149801,STIKINE GOLD CORPORATION,proposed,,,,BC,possible - shares the name but carries a word of its own
Gorman Group,00001690,GORMAN BROS. LUMBER LTD.,proposed,,,,BC,possible - shares the name but carries a word of its own
Imperial Fibre,00034448,IMPERIAL LIMESTONE COMPANY LIMITED,proposed,,,,BC,possible - shares the name but carries a word of its own
Imperial Fibre,00025335,IMPERIAL METALS CORPORATION,proposed,,,,BC,possible - shares the name but carries a word of its own
Imperial Fibre,00052954,IMPERIAL OIL RESOURCES LIMITED,proposed,,,,BC,possible - shares the name but carries a word of its own
Imperial Fibre,00128678,IMPERIAL SHAKE CO. LTD.,proposed,,,,BC,high
Kruger Inc.,00160632,KRUGER PRODUCTS 2010 L.P.,proposed,,,,BC,possible - shares the name but carries a word of its own
Long Hoh Enterprises,00105419,LONG HOH ENTERPRISES CANADA LTD.,proposed,,,,BC,high
Nicola Post and Rail,00030166,LOWER NICOLA,proposed,,,,BC,possible - shares the name but carries a word of its own
Nicola Post and Rail,00101283,LOWER NICOLA BACKHOE INC.,proposed,,,,BC,possible - shares the name but carries a word of its own
Nicola Post and Rail,00096588,NICOLA LOG WORKS LIMITED,proposed,,,,BC,possible - shares the name but carries a word of its own
Nicola Post and Rail,00096020,NICOLA PACIFIC FOREST PRODUCTS LTD.,proposed,,,,BC,high
Nicola Post and Rail,00017408,NICOLA RANCH LTD.,proposed,,,,BC,possible - shares the name but carries a word of its own
Nicola Post and Rail,00059348,UPPER NICOLA,proposed,,,,BC,possible - shares the name but carries a word of its own
Otter Point Timber,00163731,OTTER POINT TIMBER LTD.,proposed,,,,BC,high
Premium Cedar,00020277,PREMIUM CEDAR PRODUCTS LTD.,proposed,,,,BC,high
Richmond Plywood (hog fuel),00103240,RICHMOND LOGGING LTD.,proposed,,,,BC,high
Richmond Plywood (hog fuel),00002539,RICHMOND PLYWOOD CORPORATION LIMITED,proposed,,,,BC,high
Richmond Plywood Corporation,00103240,RICHMOND LOGGING LTD.,proposed,,,,BC,high
Richmond Plywood Corporation,00002539,RICHMOND PLYWOOD CORPORATION LIMITED,proposed,,,,BC,high
Riverside Shingle Products,00137048,RIVERSIDE PROPERTIES INC.,proposed,,,,BC,possible - shares the name but carries a word of its own
Sigurdson Forest Products,00142343,BARRY SIGURDSON,proposed,,,,BC,possible - shares the name but carries a word of its own
Sigurdson Forest Products,00022466,SIGURDSON BROS. LOGGING COMPANY LTD.,proposed,,,,BC,possible - shares the name but carries a word of its own
Sigurdson Forest Products,00202215,SIGURDSON FOREST PRODUCTS CHILLIWACK LTD.,proposed,,,,BC,possible - shares the name but carries a word of its own
Sigurdson Forest Products,00158536,SIGURDSON FOREST PRODUCTS LTD.,proposed,,,,BC,high
Sigurdson Forest Products,00054562,VIOLET SIGURDSON,proposed,,,,BC,possible - shares the name but carries a word of its own
Star Lumber,00132853,DAY STAR LOGGING LTD,proposed,,,,BC,possible - shares the name but carries a word of its own
Star Lumber,00002341,NORTH STAR PLANING CO. LTD.,proposed,,,,BC,possible - shares the name but carries a word of its own
Star Lumber,00044291,PINE STAR LOGGING LTD.,proposed,,,,BC,possible - shares the name but carries a word of its own
Star Lumber,00159060,"POLAR STAR CANADIAN OIL AND GAS, INC.",proposed,,,,BC,possible - shares the name but carries a word of its own
Star Lumber,00165037,SILVER STAR MAT SYSTEMS INC.,proposed,,,,BC,possible - shares the name but carries a word of its own
Star Lumber,00133580,SILVER STAR SKI RESORT LTD.,proposed,,,,BC,possible - shares the name but carries a word of its own
Star Lumber,00111029,SILVER STAR TIMBER INC.,proposed,,,,BC,possible - shares the name but carries a word of its own
Weyerhaeuser,00115364,WEYERHAEUSER COMPANY LIMITED,proposed,,,,BC,high
Weyerhaeuser,00196647,WEYERHAEUSER COMPANY LIMITED,proposed,,,,BC,high
