Supplier,Code,Jurisdiction,Class,Tiers,Sources,Resolved,Outstanding,July BDT,Next step,Why,FPARS apps,What they already sent,Products,Routes so far
Herman Brothers,HERMANN,Washington,D,P5,3,0,3,0.0,US register — name match available,Appears by name in Washington's Forest Practices Application registry. Bounds a search far better than a drawn catchment.,28.0,,BULK,"Mill catchment, to be drawn"
Weyerhaeuser,WEYER,"British Columbia, Washington",C2,P5,3,0,3,0.0,US register — name match available,Appears by name in Washington's Forest Practices Application registry. Bounds a search far better than a drawn catchment.,7970.0,Unmarked road map of Washington State.,BULK,"Mill catchment, to be drawn"
Green Diamond Resource Co.,GREEN,California,C2,P5,1,0,1,0.0,US register — name match available,Appears by name in Washington's Forest Practices Application registry. Bounds a search far better than a drawn catchment.,1640.0,,BULK,"Mill catchment, to be drawn"
Interfor,INTERFOR,Washington,C2,P5,1,0,1,0.0,US register — name match available,Appears by name in Washington's Forest Practices Application registry. Bounds a search far better than a drawn catchment.,146.0,,BULK,"Mill catchment, to be drawn"
Coastland Wood Ind.,CWI,British Columbia,"A, B, C2, D","P1, P2, P4, P5",23,19,4,15308.2,Catchment to be defined,No register route and no usable statement. Needs an operating area.,,,"BULK, LOG","Cut block held, Holder tenure held, Mill catchment, to be drawn, Parcel from private mark"
Richmond Plywood Corporation,RICHPLY,British Columbia,C2,P5,1,0,1,5279.1,Catchment to be defined,No register route and no usable statement. Needs an operating area.,,,BULK,"Mill catchment, to be drawn"
Aspen Planers Ltd,ASPEN,British Columbia,C2,P5,1,0,1,2652.7,Catchment to be defined,No register route and no usable statement. Needs an operating area.,,,BULK,"Mill catchment, to be drawn"
Kruger Inc.,KRUGER,British Columbia,C2,P5,1,0,1,2619.4,Catchment to be defined,No register route and no usable statement. Needs an operating area.,,,BULK,"Mill catchment, to be drawn"
Gorman Group,GORMAN,British Columbia,C2,P5,1,0,1,836.7,Catchment to be defined,No register route and no usable statement. Needs an operating area.,,,BULK,"Mill catchment, to be drawn"
NVCL,NVCL,British Columbia,C2,P5,1,0,1,422.6,Catchment to be defined,No register route and no usable statement. Needs an operating area.,,,BULK,"Mill catchment, to be drawn"
Premium Cedar,PREMIUM,British Columbia,C2,P5,1,0,1,385.0,Catchment to be defined,No register route and no usable statement. Needs an operating area.,,,BULK,"Mill catchment, to be drawn"
Best Quality Cedar,BEST,British Columbia,C2,P5,1,0,1,273.9,Catchment to be defined,No register route and no usable statement. Needs an operating area.,,,BULK,"Mill catchment, to be drawn"
Star Lumber,STARLUMBER,British Columbia,C2,P5,1,0,1,234.8,Catchment to be defined,No register route and no usable statement. Needs an operating area.,,,BULK,"Mill catchment, to be drawn"
Imperial Fibre,IMPERIAL,British Columbia,C2,P5,1,0,1,205.9,Catchment to be defined,No register route and no usable statement. Needs an operating area.,,,BULK,"Mill catchment, to be drawn"
SSD Sawmill Sales Direct Ltd,SSD,British Columbia,C2,P5,2,0,2,184.5,Catchment to be defined,No register route and no usable statement. Needs an operating area.,,,BULK,"Mill catchment, to be drawn"
Cape Scott,CAPESCOTT,British Columbia,C2,P5,1,0,1,146.0,Catchment to be defined,No register route and no usable statement. Needs an operating area.,,,BULK,"Mill catchment, to be drawn"
Coast Mountain Cedar,COASTMTN,British Columbia,C2,P5,1,0,1,134.6,Catchment to be defined,No register route and no usable statement. Needs an operating area.,,,BULK,"Mill catchment, to be drawn"
Riverside Shingle Products,RIVERSIDE,British Columbia,C2,P5,1,0,1,116.7,Catchment to be defined,No register route and no usable statement. Needs an operating area.,,,BULK,"Mill catchment, to be drawn"
Coleman Road Shingle,COLEMAN,British Columbia,C2,P5,1,0,1,106.2,Catchment to be defined,No register route and no usable statement. Needs an operating area.,,,BULK,"Mill catchment, to be drawn"
Comox Valley Shakes LLP,COMOX,British Columbia,C2,P5,1,0,1,88.1,Catchment to be defined,No register route and no usable statement. Needs an operating area.,,,BULK,"Mill catchment, to be drawn"
Gold River Shingle Mill,GR SHINGLE,British Columbia,C2,P5,1,0,1,72.1,Catchment to be defined,No register route and no usable statement. Needs an operating area.,,,BULK,"Mill catchment, to be drawn"
Chemainus Forest Products,CHEMFP,British Columbia,C2,P5,1,0,1,51.6,Catchment to be defined,No register route and no usable statement. Needs an operating area.,,,BULK,"Mill catchment, to be drawn"
C&C Lath Mill Ltd,C&C,British Columbia,C2,P5,1,0,1,47.8,Catchment to be defined,No register route and no usable statement. Needs an operating area.,,,BULK,"Mill catchment, to be drawn"
WFP Value Added,WFP,British Columbia,C2,P5,1,0,1,46.9,Catchment to be defined,No register route and no usable statement. Needs an operating area.,,,BULK,"Mill catchment, to be drawn"
Campbell River Shake,CRSHAKE,British Columbia,C2,P5,1,0,1,44.8,Catchment to be defined,No register route and no usable statement. Needs an operating area.,,,BULK,"Mill catchment, to be drawn"
Nicola Post and Rail,NICOLA,British Columbia,C2,P5,1,0,1,39.8,Catchment to be defined,No register route and no usable statement. Needs an operating area.,,,BULK,"Mill catchment, to be drawn"
Ludwig Lumber Ltd,LUDWIG,British Columbia,C2,P5,1,0,1,30.1,Catchment to be defined,No register route and no usable statement. Needs an operating area.,,,BULK,"Mill catchment, to be drawn"
Paulcan,PAULCAN,British Columbia,C2,P5,1,0,1,26.4,Catchment to be defined,No register route and no usable statement. Needs an operating area.,,,BULK,"Mill catchment, to be drawn"
Aquila Cedar,AQUILA,British Columbia,C2,P5,1,0,1,12.6,Catchment to be defined,No register route and no usable statement. Needs an operating area.,,,BULK,"Mill catchment, to be drawn"
(BLANK),,British Columbia,"A, C2, E","P1, P5",14,2,12,0.0,Catchment to be defined,No register route and no usable statement. Needs an operating area.,,,"BULK, LOG","Cut block held, Identifier not understood, Mill catchment, to be drawn"
Nanaimo Forest Products (own tenure),NFP,British Columbia,"A, E","P1, P5",12,3,9,0.0,Catchment to be defined,No register route and no usable statement. Needs an operating area.,,,LOG,"Cut block held, Identifier not understood"
S&R Sawmills Ltd,S&R,British Columbia,"C2, D",P5,8,0,8,0.0,Catchment to be defined,No register route and no usable statement. Needs an operating area.,,,BULK,"Mill catchment, to be drawn"
Chips Ahoy Fibre Supplier Ltd,CAHOY,"British Columbia, Washington","C2, D",P5,7,0,7,0.0,Catchment to be defined,No register route and no usable statement. Needs an operating area.,,,BULK,"Mill catchment, to be drawn"
Booming grounds / water delivery,BM,British Columbia,E,P5,4,0,4,0.0,Catchment to be defined,No register route and no usable statement. Needs an operating area.,,,LOG,Identifier not understood
Mosaic Forest Management,MOSAIC,British Columbia,"A, B, C2, E","P1, P3, P4, P5",52,48,4,0.0,Catchment to be defined,No register route and no usable statement. Needs an operating area.,,,"BULK, LOG","Cut block held, Identifier not understood, Mill catchment, to be drawn, Parcel from private mark"
Long Hoh Enterprises,LONGHOH,British Columbia,"C2, D",P5,3,0,3,0.0,Catchment to be defined,No register route and no usable statement. Needs an operating area.,,,BULK,"Mill catchment, to be drawn"
COS (log purchase - full name unknown),COS,British Columbia,"A, B, E","P1, P2, P4, P5",13,11,2,0.0,Catchment to be defined,No register route and no usable statement. Needs an operating area.,,,LOG,"Cut block held, Holder tenure held, Identifier not understood, Parcel from private mark"
Otter Point Timber,OTTERPT,British Columbia,"A, C2","P1, P2, P5",7,5,2,0.0,Catchment to be defined,No register route and no usable statement. Needs an operating area.,,,"BULK, LOG","Cut block held, Holder tenure held, Mill catchment, to be drawn"
Triple Five Quality,TRIPLE,British Columbia,C2,P5,2,0,2,0.0,Catchment to be defined,No register route and no usable statement. Needs an operating area.,,,BULK,"Mill catchment, to be drawn"
Waldun Forest Products,WALDUN,British Columbia,C2,P5,2,0,2,0.0,Catchment to be defined,No register route and no usable statement. Needs an operating area.,,,BULK,"Mill catchment, to be drawn"
Alta Forest Products (Morton),ALTA-MORTON,British Columbia,C2,P5,1,0,1,0.0,Catchment to be defined,No register route and no usable statement. Needs an operating area.,,,BULK,"Mill catchment, to be drawn"
Alta Forest Products (Shelton),ALTA-SHEL,British Columbia,C2,P5,1,0,1,0.0,Catchment to be defined,No register route and no usable statement. Needs an operating area.,,,BULK,"Mill catchment, to be drawn"
Cinnabar Valley,CINN,British Columbia,C2,P5,1,0,1,0.0,Catchment to be defined,No register route and no usable statement. Needs an operating area.,,,BULK,"Mill catchment, to be drawn"
Cipa Lumber,CIPA,British Columbia,C2,P5,1,0,1,0.0,Catchment to be defined,No register route and no usable statement. Needs an operating area.,,,BULK,"Mill catchment, to be drawn"
Coulson Group,COULSONS,British Columbia,C2,P5,1,0,1,0.0,Catchment to be defined,No register route and no usable statement. Needs an operating area.,,,BULK,"Mill catchment, to be drawn"
Coastland Custom Chipping,CWI-CC,British Columbia,D,P5,1,0,1,0.0,Catchment to be defined,No register route and no usable statement. Needs an operating area.,,,BULK,"Mill catchment, to be drawn"
Delta Cedar,DELTA,British Columbia,"A, C2","P1, P5",3,2,1,0.0,Catchment to be defined,No register route and no usable statement. Needs an operating area.,,,"BULK, LOG","Cut block held, Mill catchment, to be drawn"
Delta Cedar Split Barge,DELTA-SPLIT,British Columbia,C2,P5,1,0,1,0.0,Catchment to be defined,No register route and no usable statement. Needs an operating area.,,,BULK,"Mill catchment, to be drawn"
Franklin Custom Chipping,FFP-CC,British Columbia,C2,P5,1,0,1,0.0,Catchment to be defined,No register route and no usable statement. Needs an operating area.,,,BULK,"Mill catchment, to be drawn"
G&R Cedar,G&R,British Columbia,C2,P5,1,0,1,0.0,Catchment to be defined,No register route and no usable statement. Needs an operating area.,,,BULK,"Mill catchment, to be drawn"
Halo Sawmill,HALO,British Columbia,C2,P5,1,0,1,0.0,Catchment to be defined,No register route and no usable statement. Needs an operating area.,,,BULK,"Mill catchment, to be drawn"
Halo Sawmill (split barge),HALO-SPLIT,British Columbia,C2,P5,1,0,1,0.0,Catchment to be defined,No register route and no usable statement. Needs an operating area.,,,BULK,"Mill catchment, to be drawn"
High Line Environmental,HIGHLINE,British Columbia,C2,P5,1,0,1,0.0,Catchment to be defined,No register route and no usable statement. Needs an operating area.,,,BULK,"Mill catchment, to be drawn"
Ledcor Silverdale Reload,LEDCOR,British Columbia,D,P5,1,0,1,0.0,Catchment to be defined,No register route and no usable statement. Needs an operating area.,,,BULK,"Mill catchment, to be drawn"
Mercer Celgar Ltd,MERCER,British Columbia,C2,P5,1,0,1,0.0,Catchment to be defined,No register route and no usable statement. Needs an operating area.,,,BULK,"Mill catchment, to be drawn"
Unassigned / other,OTHER,British Columbia,C2,P5,1,0,1,0.0,Catchment to be defined,No register route and no usable statement. Needs an operating area.,,,BULK,"Mill catchment, to be drawn"
Paulcan Custom Chipping,PAULCAN-CC,British Columbia,C2,P5,1,0,1,0.0,Catchment to be defined,No register route and no usable statement. Needs an operating area.,,,BULK,"Mill catchment, to be drawn"
Richmond Plywood (hog fuel),RICHPLY-HOG,British Columbia,C2,P5,1,0,1,0.0,Catchment to be defined,No register route and no usable statement. Needs an operating area.,,,BULK,"Mill catchment, to be drawn"
Kruger River City,RIVERCITY,British Columbia,C2,P5,1,0,1,0.0,Catchment to be defined,No register route and no usable statement. Needs an operating area.,,,BULK,"Mill catchment, to be drawn"
Roseburg Forest Products,ROSEBURG,Oregon,C2,P5,1,0,1,0.0,Catchment to be defined,No register route and no usable statement. Needs an operating area.,,,BULK,"Mill catchment, to be drawn"
Sigurdson Forest Products,SIGURD,British Columbia,C2,P5,1,0,1,0.0,Catchment to be defined,No register route and no usable statement. Needs an operating area.,,,BULK,"Mill catchment, to be drawn"
Teal Jones,TEAL,British Columbia,C2,P5,1,0,1,0.0,Catchment to be defined,No register route and no usable statement. Needs an operating area.,,,BULK,"Mill catchment, to be drawn"
Titan Ridge,TITAN,British Columbia,C2,P5,1,0,1,0.0,Catchment to be defined,No register route and no usable statement. Needs an operating area.,,,BULK,"Mill catchment, to be drawn"
Valley Cedar 2 Inc,VALLEY,British Columbia,C2,P5,1,0,1,0.0,Catchment to be defined,No register route and no usable statement. Needs an operating area.,,,BULK,"Mill catchment, to be drawn"
Viking Lumber,VIKING,Alaska,C2,P5,1,0,1,0.0,Catchment to be defined,No register route and no usable statement. Needs an operating area.,,Unmarked road map of Southeast Alaska.,BULK,"Mill catchment, to be drawn"
WEW (log purchase - full name unknown),WEW,British Columbia,"A, C2","P1, P5",3,2,1,0.0,Catchment to be defined,No register route and no usable statement. Needs an operating area.,,,"BULK, LOG","Cut block held, Mill catchment, to be drawn"
Franklin Forest Products Ltd,FFP,British Columbia,"C2, D",P5,3,0,3,650.8,Confirm scope — chip trade,Fibre traded from another pulp mill — a separate supply chain.,,,BULK,"Mill catchment, to be drawn"
Domtar,DOMTAR,British Columbia,D,P5,2,0,2,0.0,Confirm scope — chip trade,Fibre traded from another pulp mill — a separate supply chain.,,,BULK,"Mill catchment, to be drawn"
Suncoast Industries,SUNCOAST,British Columbia,D,P5,1,0,1,0.0,Confirm scope — chip trade,Fibre traded from another pulp mill — a separate supply chain.,,,BULK,"Mill catchment, to be drawn"
Harmac Pacific (internal),HARMAC,British Columbia,,P5,6,0,6,0.0,Internal,Harmac's own yard piles and landfill.,,,BULK,Internal
Harmac Pacific (mill yard),HP,British Columbia,,P5,3,0,3,0.0,Internal,Harmac's own yard piles and landfill.,,,BULK,Internal
